IND_ID,Strain_ID
IND919,HpGP-POR-103
IND920,HpGP-SGP-014
IND921,HpGP-COL-103
IND922,HpGP-GER-003
IND923,HpGP-KOR-027
IND924,HpGP-SPA-011
IND925,HpGP-SGP-038
IND926,HpGP-SPA-505
IND927,HpGP-ALG-008
IND928,HpGP-SPA-804
IND929,HpGP-SPA-402
IND930,HpGP-SWE-014
IND931,HpGP-TWN-029
IND932,ausabrJ05
IND933,HpGP-USA-404
IND934,Khanty30
IND935,HpGP-CRI-005
IND936,HpGP-KOR-013
IND937,HpGP-CAN-012
IND938,Khanty40
IND939,HpGP-KOR-114
IND940,HpGP-HON-009
IND941,HpGP-PRI-007
IND942,HpGP-JOR-007
IND943,HpGP-CHN-002
IND944,HpGP-MAL-005
IND945,HpGP-CHI-007
IND946,HpGP-JOR-006
IND947,HpGP-JAP-109
IND948,HpGP-LAT-029
IND949,HpGP-MAL-018
IND950,HpGP-USA-431
IND951,HpGP-IDN-010
IND952,HpGP-ITA-026
IND953,HpGP-MEX-003
IND954,SouthAfrica50
IND955,ALA9
IND956,HpGP-POL-003
IND957,HpGP-COL-110
IND958,HpGP-ISR-008
IND959,ALA5
IND960,HpGP-CHI-107
IND961,HpGP-HON-025
IND962,HpGP-PER-011
IND963,HpGP-SPA-316
IND964,F16
IND965,HpGP-KGZ-006
IND966,HpGP-KOR-022
IND967,Neuguinea51
IND968,NYPt273
IND969,HpGP-CAN-019
IND970,Cuz20
IND971,HpGP-COL-301
IND972,HpGP-CHI-113
IND973,HpGP-SPA-210
IND974,HpGP-SGP-018
IND975,HpGP-LIT-028
IND976,HpGP-JAP-016
IND977,HpGP-SGP-004
IND978,HpGP-CAN-011
IND979,HpGP-CAN-004
IND980,HpGP-BRA-025
IND981,GAM101Biv
IND982,HpGP-KOR-110
IND983,HpGP-KOR-020
IND984,SA227C
IND985,FD662
IND986,HpGP-PRI-005
IND987,HpGP-LAT-024
IND988,HpGP-SGP-007
IND989,HpGP-SPA-110
IND990,HpGP-SPA-008
IND991,HpGP-SPA-301
IND992,HpGP-SPA-510
IND993,HpGP-USA-003
IND994,HpGP-TWN-002
IND995,HpGP-CHI-119
IND996,HpGP-PER-117
IND997,HpGP-PER-103
IND998,HpGP-CHI-101
IND999,HpGP-USA-207
IND1000,Hui1766
IND1001,HpGP-DOM-008
IND1002,HpGP-SPA-703
IND1003,HpGP-NPL-004
IND1004,v225d
IND1005,HpGP-SWT-017
IND1006,HpGP-TUR-022
IND1007,HpGP-ISR-004
IND1008,HpGP-USA-421
IND1009,HpGP-SPA-205
IND1010,HpGP-CHI-124
